"x","y","z"
465,989,9
1292,3205,14
333,2483,7
863,1814,21
172,1175,9
862,1885,15
912,3270,15
1128,1734,19
1031,2830,16
1420,425,21
1240,4568,18
801,2397,27
742,3786,25
288,1612,21
564,1562,6
1014,1455,12
247,3126,25
732,2803,8
1143,2871,26
968,4744,22
1163,3122,29
488,2167,17
336,1311,22
293,3522,17
1179,4978,16
359,3955,32
1079,602,15
358,871,11
1401,558,7
316,3831,33
789,2749,12
802,4445,14
301,3173,31
839,3451,29
730,2646,24
1011,2614,17
1175,3279,27
604,4206,15
1048,1946,9
102,5251,24
1009,1864,17
944,1578,19
596,1089,7
1209,4714,27
135,3779,25
564,1447,18
881,2393,31
626,3642,31
938,3955,26
1121,1502,24
1026,1699,12
1351,3451,14
1313,2503,6
992,3286,12
131,4027,33
789,3656,14
852,2978,19
592,1932,19
459,2073,6
442,2408,20
407,3808,25
1339,877,23
342,4128,15
263,4034,7
1208,3282,18
303,2034,12
308,1383,24
450,2083,26
710,3020,34
325,3568,29
956,3485,33
372,3865,18
1062,4619,31
663,1443,19
1288,3062,21
800,2764,8
635,3437,11
1328,3192,18
1225,5025,13
298,2500,15
775,4902,18
978,2576,34
344,2451,12
991,2363,34
1223,3747,10
491,2112,20
1406,2752,24
518,4274,6
545,3146,13
1200,191,14
160,1366,11
516,4437,30
1067,3028,26
1032,1187,12
1309,5006,31
366,3338,32
1332,4479,22
544,1446,19
94,1287,32
123,3803,25
326,3964,15
808,1814,17
1442,1968,13
510,3824,12
396,1909,11
1438,1988,24
127,2644,7
288,1226,28
161,3768,19
319,4634,30
1155,1026,10
1166,4572,20
228,1505,26
1095,3912,6
1365,368,6
648,4311,32
739,1285,18
1132,4292,10
654,1330,24
1359,2839,26
609,4372,30
653,3066,34
559,1537,10
425,5177,21
367,1606,16
1297,1935,21
434,2088,6
296,1525,17
553,1406,10
118,2030,11
190,2913,18
711,5100,20
782,4601,27
73,5110,29
548,4219,33
1322,1382,28
125,5268,31
362,3959,32
911,459,6
1380,1743,19
931,2500,20
342,3468,31
671,3571,21
1409,171,12
782,5102,28
1155,3185,9
316,1001,7
370,3634,19
691,5014,13
1331,4442,6
129,1842,22
1061,2686,14
293,3391,34
1235,4711,31
321,924,13
1278,195,23
1296,3926,6
1142,3938,15
1107,4382,10
1194,4558,31
390,1259,14
824,2802,32
968,3369,23
1327,4099,15
127,1661,24
1177,561,10
1015,4731,18
1348,2703,9
113,1897,33
872,3002,25
601,1850,28
1402,3666,9
528,4269,13
382,3621,9
1431,2460,11
350,3080,21
527,1376,28
663,3941,16
838,2358,20
635,4488,19
1338,3196,22
909,2500,26
317,1600,18
728,2646,24
385,1602,32
116,5433,26
1110,4070,9
527,3210,32
83,3060,34
1007,2211,19
917,2273,7
1160,1023,24
1010,1695,15
394,1356,30
1079,3914,19
841,1352,31
1364,1159,7
476,1732,23
488,3618,31
305,1951,34
1201,2625,35
187,1402,17
1004,3892,6
1121,2999,8
1413,3418,28
960,4691,14
1106,3791,25
226,3012,28
844,1601,34
964,3537,8
823,1990,23
417,4747,31
532,4310,12
859,4920,33
471,4859,22
487,1381,21
1328,1897,12
162,4013,17
737,1073,9
639,1964,34
1395,4741,17
1142,1613,14
168,1977,28
593,1684,19
468,1187,15
1334,434,14
1187,4804,19
116,2516,16
666,3834,32
1217,1271,13
1352,1705,15
358,4393,6
302,3937,18
598,4110,31
465,4624,24
211,2578,9
418,1131,19
1273,4109,9
1415,1776,23
1417,1125,12
994,4860,24
1173,1708,31
196,2610,15
1318,351,13
328,3510,12
826,4287,15
1377,5072,24
1310,1492,31
1018,4929,25
301,5362,9
399,4964,31
305,5216,28
1288,1889,19
639,1354,12
640,1696,14
1088,1364,24
741,1606,12
517,5057,25
458,2914,24
737,5114,27
233,4103,7
345,2502,25
901,2234,33
736,454,11
453,2426,25
619,2538,27
1130,3382,19
1386,370,16
253,3128,27
707,1523,34
1129,1765,13
1053,2249,7
400,4793,16
756,668,10
962,2762,16
946,702,5
1036,946,9
104,5244,19
488,3978,9
360,1115,7
681,1341,8
737,2132,18
1119,225,6
646,1348,18
384,2729,34
810,4694,9
435,4705,23
535,3432,9
66,1304,26
1107,2517,10
588,3887,25
916,4105,7
821,1312,18
1266,359,22
341,4334,34
933,1163,11
256,2024,34
1276,884,34
1057,3128,8
1390,376,15
1395,1392,30
1214,1304,27
1106,2321,20
714,353,15
1052,2491,16
736,1590,16
572,1225,27
242,2360,27
497,4655,28
1109,1986,28
686,1484,31
392,1323,34
316,1788,26
292,1349,18
1212,3246,22
351,1039,28
1018,1740,12
612,605,7
866,1036,7
413,4667,20
740,4097,28
1056,3904,32
626,3986,7
1210,1366,19
688,3798,10
1297,3553,11
1202,4678,13
993,3642,26
758,2836,29
1138,3212,13
471,3136,27
966,4946,22
470,1521,15
468,4993,6
1300,601,13
750,541,9
744,4798,31
1280,3411,7
612,4119,26
1194,3383,33
321,5363,26
1116,4600,8
390,2338,15
532,2358,7
140,1293,9
621,409,9
746,2306,14
1139,3508,20
634,3308,9
148,3434,23
358,2190,22
744,1100,24
978,2679,20
1241,1912,18
1212,4726,9
598,791,17
1081,2974,24
1427,2788,11
293,3335,12
291,2449,8
1113,3284,34
1257,3205,13
1056,4928,25
605,4244,24
1254,4092,13
143,4853,19
442,2427,25
69,5161,28
917,4094,33
251,1712,12
742,1587,18
1010,3998,18
1271,4151,11
1063,3775,9
486,4096,32
986,4974,25
304,4759,23
1015,1712,21
963,4929,33
1234,4462,17
530,1634,24
518,4604,14
88,5018,28
550,559,22
992,1133,11
426,4272,34
282,1745,26
1228,3182,32
55,1852,32
823,2670,24
694,4917,18
825,2178,15
1016,3996,30
70,3981,20
1200,4502,7
1009,4238,5
669,1101,18
1089,3016,17
1110,1600,24
1253,4552,24
403,4986,27
410,919,12
454,1008,22
249,5198,28
1038,3611,22
767,2240,31
504,1470,26
492,1843,27
765,563,11
78,4096,33
1223,3005,17
506,3733,15
1164,722,10
170,4715,23
525,2486,22
549,3292,9
100,5252,24
1312,2114,13
666,3788,8
1016,2820,15
1191,174,10
969,1283,14
623,2822,22
351,1381,13
157,4569,30
403,3574,7
138,1757,14
1058,747,14
122,2230,7
389,3486,21
694,4422,22
1428,417,16
216,2652,14
1260,3316,9
1056,3666,10
85,5199,27
1124,5068,11
1116,4540,12
1124,3505,22
370,4371,6
920,334,6
535,1443,21
823,3509,24
432,4038,14
849,3464,20
491,1083,15
1090,3664,19
1288,2475,19
160,4026,25
466,5046,24
1308,1163,12
1205,295,19
358,1490,7
1075,2112,33
613,2982,9
1002,4622,26
169,2253,19
817,3912,21
674,3575,16
92,4338,15
1020,2024,25
302,1264,10
1108,3718,21
351,4763,13
816,1318,28
1410,1512,20
1369,4012,21
928,2997,10
921,1027,29
523,3479,31
972,4942,9
781,943,17
610,2779,30
117,1638,33
306,5203,24
594,3961,27
481,1580,12
432,1519,12
1146,1646,17
214,4855,18
1152,5093,15
612,4676,10
624,1577,24
1119,5027,13
540,4462,21
408,3196,31
901,765,7
626,4200,29
160,1759,10
891,2262,31
632,4025,34
646,4588,11
1133,814,15
635,763,9
164,4697,12
340,2272,18
568,2246,8
1023,4375,33
975,963,19
310,2957,7
709,363,14
164,4794,9
61,4946,24
591,1007,12
350,4716,33
269,4704,23
144,2434,22
462,4097,29
292,4561,24
431,1569,14
688,1590,31
1023,4320,10
1174,4567,31
607,4243,15
179,2331,21
828,4663,19
539,4282,8
539,2480,14
630,3893,34
654,484,6
250,5317,12
1415,3847,18
1241,2153,9
901,4102,16
372,5076,19
1307,4907,21
490,2318,12
1091,3698,17
568,5079,13
803,949,13
890,3913,10
309,5253,7
183,4793,32
757,763,28
154,1387,8
868,1667,20
1139,2446,20
1138,4887,16
1323,3610,27
1000,2357,6
1060,2810,19
262,4192,32
955,1602,24
1074,4373,16
506,1481,23
1159,1493,14
64,1570,31
1237,4560,19
1036,4374,14
799,2659,10
721,3479,21
436,1761,25
727,4153,20
688,2614,24
910,4560,15
587,5040,10
960,4978,10
504,2059,11
1089,3110,11
539,1870,10
543,4454,13
1090,3016,21
72,4983,31
826,1600,25
456,5258,25
1423,2489,9
229,704,9
1264,167,21
464,5270,19
1322,3597,20
472,3678,30
715,5095,24
746,4844,28
1001,2435,23
629,3998,13
1278,921,13
275,1361,33
902,5019,22
999,4796,22
662,482,6
65,2148,22
677,4811,32
1385,1915,12
359,3406,7
686,2958,34
897,1250,10
955,4282,11
677,3555,25
533,531,21
406,3419,25
1234,3423,10
1138,4586,27
966,4996,19
764,4511,11
1412,782,20
897,5111,31
392,3838,7
344,2684,33
120,3087,24
1325,2998,12
753,4797,20
588,3075,26
783,1596,19
491,3705,28
224,1449,26
1300,4083,6
244,3052,12
549,4006,13
1398,3459,19
791,4366,19
314,1240,33
638,1126,17
1145,4388,34
402,1374,10
1295,1585,35
869,3734,13
792,1516,7
226,853,11
1238,1453,24
450,1517,9
395,5086,6
1057,2840,34
335,2177,24
303,3820,33
759,2429,25
888,4144,26
178,3737,33
1328,4322,16
292,3992,34
1150,619,27
605,880,6
598,2810,26
1207,5066,6
1417,3648,13
982,1752,11
475,4911,6
510,3304,19
802,946,23
349,1243,13
1136,4484,27
416,3053,8
504,4912,17
183,1402,16
646,1860,24
1191,3976,13
868,3032,15
1052,4200,18
594,3282,31
420,1386,10
854,1710,18
242,661,30
496,3987,34
1362,526,21
663,1966,30
1300,2517,27
786,1944,27
1234,1554,10
158,2895,10
327,2216,17
815,4176,10
769,2985,10
1125,2475,16
537,1536,8
407,3105,21
1083,4932,8
1156,2066,21
497,2382,27
848,1362,29
606,2474,30
1354,3566,21
1155,412,10
580,3024,13
114,4068,18
1389,2552,27
412,1022,12
410,3432,5
1461,241,6
1014,4512,8
604,1288,27
1383,1782,16
1049,2989,14
121,4073,34
995,3716,8
491,2807,29
1216,4523,24
870,1917,12
1346,414,10
1181,3976,24
996,1579,24
567,1563,8
528,3372,21
922,2235,6
729,3347,20
976,2443,10
199,1278,12
402,4943,15
251,4990,24
499,5201,15
792,2509,22
311,1434,24
945,2334,6
127,3451,34
1222,3042,11
1440,109,10
1310,3060,24
544,4870,13
403,4308,34
385,1603,29
414,5196,32
871,1561,16
942,3668,11
1266,2243,13
1299,597,15
1032,4423,25
1264,3950,7
282,1690,11
680,972,12
1317,1576,15
834,2806,20
490,1730,18
424,4984,32
900,501,23
1408,4332,30
470,3108,7
1291,1014,15
1172,3848,32
847,1220,9
901,3037,16
453,2338,6
457,3194,20
1004,2518,16
1248,3660,12
939,1237,8
893,2295,15
1324,1832,16
1344,402,8
1366,2789,31
554,825,8
804,4631,20
1385,3674,22
670,5014,7
371,5055,14
807,3832,8
616,1540,9
371,2077,20
391,4351,27
829,4577,32
1285,3326,16
241,3536,12
384,3564,7
119,3396,29
324,3367,23
686,2206,31
1261,2183,31
1230,1301,28
1261,3556,30
832,2617,15
1026,3072,19
201,3837,16
597,568,8
1402,4214,10
520,3875,21
948,3770,10
1054,4490,31
929,4330,23
287,1433,18
836,3844,35
1441,566,12
892,1444,14
340,2006,19
528,2706,7
741,1588,11
761,1089,6
793,4895,22
821,4739,16
1206,4200,24
184,4776,8
1165,2066,13
799,4480,6
1072,4502,24
496,4198,15
272,2397,32
1124,1358,28
657,2974,32
1405,3510,11
928,3274,16
1343,3585,20
1163,703,28
737,1546,25
1330,4662,26
1072,503,11
933,3431,33
1069,5001,20
994,810,18
477,3275,10
159,4701,17
57,5399,20
1243,3396,32
752,4763,9
697,1224,9
940,2373,7
457,4628,20
1463,1202,23
484,5224,25
637,1448,10
912,4511,27
952,1455,6
1240,2521,8
243,690,7
162,815,20
520,5056,14
1102,2079,10
1104,3496,35
1349,2290,17
1390,1168,15
571,3472,16
1239,4814,10
601,1378,11
1252,1225,6
1148,5045,24
1054,2520,21
170,5064,8
255,2626,20
758,1752,28
1248,3578,18
681,1161,17
552,2248,15
1020,4006,19
559,3599,22
1064,3773,10
1310,4938,15
1164,4037,13
1352,3840,7
597,2982,33
295,4973,20
1196,3153,17
932,160,16
398,3556,22
678,3552,20
1120,3865,9
536,2802,14
160,3900,31
436,5105,10
1097,5005,7
238,3337,32
413,2316,8
784,3212,24
568,606,12
1230,3273,9
1132,1144,10
1046,4114,7
482,1209,25
1195,4708,33
602,1541,25
303,1501,8
1067,2074,12
564,2168,25
546,1418,12
913,2168,6
415,3113,24
457,3404,31
322,4581,6
234,5356,15
915,3076,16
336,4280,7
1135,1713,27
429,2365,12
427,3243,20
536,2297,28
1325,2892,24
1002,1856,9
1266,5042,26
821,2661,7
562,1211,7
1020,1754,15
202,3361,26
780,3386,16
112,3567,6
163,4894,26
908,1223,12
735,4608,16
441,2637,29
108,5029,30
713,3886,29
874,3639,31
1262,4752,25
1186,686,13
1096,1402,33
672,3517,27
684,855,7
235,5131,29
1433,1885,19
1041,3851,32
918,3106,24
452,582,23
550,2687,22
1392,1793,24
1110,1406,13
282,5226,17
1206,3003,14
1379,3336,19
310,3794,7
282,3142,16
546,612,22
448,1647,12
1362,5119,15
1008,2193,10
703,3040,23
270,4535,6
362,3601,24
926,2336,24
380,1610,13
316,1809,14
934,3786,19
586,1815,20
1415,2564,7
1079,2952,6
148,2584,6
273,3464,22
803,951,17
200,4820,21
554,928,23
701,3684,7
1293,2442,22
998,2588,20
1434,3835,14
1032,2318,19
1024,2874,9
1108,1559,31
513,4170,26
408,1783,22
1076,2906,16
1150,4298,33
793,3418,25
1111,3287,17
527,4978,13
792,3936,25
678,2590,24
526,2111,30
480,598,28
1395,2036,30
1340,1974,20
1429,3208,8
719,4602,16
844,3018,7
1323,468,10
1268,4449,19
353,2066,20
658,4563,31
399,3955,6
1222,4867,24
450,2052,26
1420,688,22
586,4148,27
653,3567,11
1396,5110,33
540,912,23
812,4826,24
286,4357,31
170,3740,34
814,4779,32
856,2265,12
944,4240,6
851,503,6
1358,837,23
922,4347,7
323,4840,6
1186,4549,18
88,4343,13
410,2985,13
402,5092,31
771,5117,22
547,4081,18
1292,678,12
628,3782,23
220,2628,13
1181,2304,34
919,1083,26
877,3047,15
1166,1848,21
1338,634,8
1363,3503,7
1298,1844,15
670,2944,29
1213,4626,31
1363,2706,24
459,4269,23
640,497,12
696,1340,27
71,4778,16
343,3180,21
1342,3371,6
374,1013,7
824,2371,12
866,1906,6
1024,3288,15
537,4653,31
1250,900,24
1192,4988,12
1395,1220,18
555,2104,19
1040,2985,30
450,4226,6
556,1473,22
166,3747,26
161,4210,32
911,1081,21
1330,714,6
834,4913,23
161,4743,16
710,1382,28
1362,3391,10
711,2198,21
512,4099,24
1420,2952,19
1017,1868,8
1046,2893,31
85,1740,26
122,4725,11
58,4854,26
1347,1569,24
830,1028,11
169,4046,9
720,3424,17
458,3304,26
197,5038,13
731,2065,34
1367,1135,16
340,4926,16
887,2143,27
596,1366,22
1265,2754,10
110,4109,9
442,3840,27
728,299,15
376,4488,31
465,1209,12
919,1867,22
824,1934,26
1226,927,8
803,3305,14
1250,2108,24
411,4224,22
982,2911,32
195,1713,9
1074,3698,21
216,4842,13
639,4065,27
966,2022,27
761,1903,10
932,2274,19
343,4879,15
1219,4956,28
1333,2496,26
123,1526,30
1258,3743,29
513,2297,32
91,4164,6
201,2650,7
818,655,13
161,2288,27
1208,2736,13
209,4395,29
1310,1284,15
552,3855,16
491,2881,11
445,5360,23
607,3868,7
449,1644,29
106,3614,31
1416,2501,22
384,3016,16
338,3272,25
214,5237,18
938,3499,31
1206,4806,31
1193,1573,9
922,2243,14
420,1718,7
646,4380,19
283,4546,16
1056,2171,18
1340,4460,28
140,1699,8
1180,4369,33
1007,1580,8
275,5050,13
1246,2155,9
1349,2850,25
410,4781,6
1250,2106,24
300,3162,24
883,3846,20
871,1984,31
1153,4954,12
1384,142,12
908,2900,34
584,4726,17
739,2230,17
1112,4317,26
261,3056,17
1064,4671,13
608,3009,11
211,3379,32
1283,2379,13
1062,3880,16
1336,2352,19
974,507,11
1192,508,13
85,2876,30
521,4264,13
949,2469,8
1051,1613,10
591,1007,7
952,1872,14
985,3484,12
648,1674,19
358,1116,14
487,2160,7
1108,3546,6
956,4754,22
872,5075,22
567,2120,20
477,2272,29
663,1444,20
680,344,15
1285,1868,22
931,3724,7
1067,3769,20
721,1709,11
442,1486,33
130,4194,24
184,3875,27
839,2339,16
707,1711,21
244,3841,20
347,4145,8
1158,864,12
558,1620,6
970,943,6
1123,916,20
1228,4904,18
527,1749,33
423,3093,29
1102,2906,12
1332,1804,8
164,3841,23
508,3761,14
590,4576,8
1220,4672,27
1245,5063,24
642,4014,20
1096,2548,33
95,5428,22
575,2479,8
812,3708,11
570,1625,14
554,5111,12
149,1449,14
390,5148,9
288,4190,9
872,3164,16
1290,5043,28
1148,1968,24
803,2303,35
742,656,11
218,1634,13
460,2396,16
959,2371,32
522,2283,14
1234,1556,12
437,2080,32
295,3213,18
323,2511,33
533,2109,34
1284,4167,11
684,3570,19
1029,3799,14
1286,2628,15
788,1256,27
1105,2524,25
995,3069,12
280,1346,6
436,4278,11
126,1960,26
1303,4570,32
417,903,21
249,2249,11
139,5140,26
538,4280,7
543,1231,5
1404,1476,6
1284,2397,18
848,3885,15
1419,2065,16
399,2256,27
449,1074,10
387,3498,17
1291,1828,10
322,3092,11
974,3503,22
600,1805,24
59,4404,28
157,2303,24
1225,1131,11
145,1742,21
313,2014,16
589,3615,8
582,800,7
215,2003,18
760,1406,6
183,1956,13
693,1275,21
1240,2207,19
1064,4020,7
1208,2839,12
358,3787,5
486,1216,28
800,4368,24
724,1392,32
406,622,23
256,1508,17
692,3508,8
973,2637,30
200,4668,16
73,4603,24
446,4163,13
1348,1673,13
448,2282,23
1198,3937,6
229,969,10
773,2178,9
1377,3903,29
458,1732,11
1342,5096,27
1106,1921,22
579,3862,6
190,4377,32
339,1118,8
1154,2924,19
412,1021,12
861,2129,7
1086,2127,9
128,4984,12
539,689,28
699,3528,7
887,3865,17
572,4106,26
508,4424,23
862,291,7
924,1293,22
729,3646,12
1282,302,6
912,2076,30
688,1084,6
791,1891,27
476,3241,27
1158,3682,26
262,4222,21
1078,1528,31
1020,1836,13
1252,1865,13
1147,2781,17
1059,2753,26
181,5104,19
641,2311,13
1351,2374,25
389,2074,25
855,747,7
1105,1355,8
367,634,14
538,819,33
80,4350,34
1024,1249,27
417,5099,13
1111,4554,6
318,4198,12
104,3824,20
584,1876,18
984,4977,22
1237,1834,34
889,3215,32
426,3148,7
133,4667,29
754,3376,34
297,3927,24
1077,3019,17
1397,5098,18
939,1717,32
788,2840,15
892,1368,12
629,4738,6
235,2813,12
678,4772,7
677,3557,25
586,2504,32
682,4476,29
188,3653,24
387,4828,21
1328,4288,18
876,1674,14
1425,808,22
1359,325,13
1278,1049,17
1230,2606,16
443,4225,19
1282,4682,24
369,4463,6
981,476,9
871,1221,7
982,4974,13
859,2685,32
